"Part Number","Library Ref","Case/Package","Color","Status","Manufacturer Part Number","Description","Manufacturer","Mount","Footprint Ref","HelpURL","Max Operating Temperature","Number of Pins","RoHS","Supplier 1","Supplier Part Number 1","Supplier Unit Price 1"
"150080M153000","155124M173200","0805","Red,Green,Blue","AK","150080M153000","Standard LEDs - SMD WL-SFCD SMDFlClr Chp Diffused 0805 R/G/B","Wurth Electronics","Surface Mount","150080M153000","https://pl.mouser.com/datasheet/2/445/150080M153000-1113667.pdf","0","4","Compilant","eiSos","150080M153000","0.185"
"155124M173200","155124M173200","SMD/SMT","Red,Green,Blue","MK","155124M173200","Right Angle Tricolor (RGB) Surface Mount LED","Wurth Electronics","Surface Mount","155124M173200","http://datasheet.octopart.com/155124M173200-W%C3%BCrth-Elektronik-datasheet-83130529.pdf","0°C","4","Compilant","eiSos","155124M173200","0.1335"
"APT1608ZGC","APT1608ZGC","0603","Red,Green,Blue",,"APT1608ZGC","LED GREEN","Kingbright","Surface Mount","OL_0603_1608",,"0°C","2",,,,
"LTST-S310F2KT","LTST-S310F2KT",,"Red,Green,Blue",,"LTST-S310F2KT","High Luminous PLCC4 Top SMD LEDs","Litle-On","Surface Mount","LTST-S310F2KT","http://docs-europe.electrocomponents.com/webdocs/0dc0/0900766b80dc0b91.pdf","0°C","4",,,,
"MSL0201RGBW1","MSL0201RGBW1","SMD/SMT","Red,Green,Blue",,"MSL0201RGBW1","High Luminous PLCC4 Top SMD LEDs","Rohm","Surface Mount","MSL0201RGBW1","http://datasheet.octopart.com/MSL0201RGBW1-Rohm-datasheet-80962650.pdf","0°C","4",,,,
